Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,3069
Base Time Seconds,1624441114
Base Time Fractional,.443592520
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,4.2279734771e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001019948395,Volt DC,1,F,2W,F,F,06/23/2021,09:38:34,.443592520
2,5.04028503201e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001065545948,Volt DC,1,F,2W,F,F,06/23/2021,09:38:34,.526287520
3,5.272380803945e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001019947231,Volt DC,1,F,2W,F,F,06/23/2021,09:38:34,.608998300
4,5.272371708998e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000962953782,Volt DC,1,F,2W,F,F,06/23/2021,09:38:34,.691677820
5,4.692154107033e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000985749066,Volt DC,1,F,2W,F,F,06/23/2021,09:38:34,.774370480
6,5.156334736967e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000962951453,Volt DC,1,F,2W,F,F,06/23/2021,09:38:34,.857058220
7,4.92424260301e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000951552065,Volt DC,1,F,2W,F,F,06/23/2021,09:38:34,.939742640
8,5.156338374945e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000940150348,Volt DC,1,F,2W,F,F,06/23/2021,09:38:35,.022428820
9,4.808209268958e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000940148020,Volt DC,1,F,2W,F,F,06/23/2021,09:38:35,.105120800
10,5.272377165966e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001019948395,Volt DC,1,F,2W,F,F,06/23/2021,09:38:35,.187821840
11,5.156334736967e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001065543620,Volt DC,1,F,2W,F,F,06/23/2021,09:38:35,.270515900
12,5.156331098988e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001122541726,Volt DC,1,F,2W,F,F,06/23/2021,09:38:35,.353208000
13,5.040288669989e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001008547843,Volt DC,1,F,2W,F,F,06/23/2021,09:38:35,.435896280
14,5.388426870923e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001019946067,Volt DC,1,F,2W,F,F,06/23/2021,09:38:35,.518581580
15,5.388415956986e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001076946501,Volt DC,1,F,2W,F,F,06/23/2021,09:38:35,.601266140
16,5.504462023964e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001076946501,Volt DC,1,F,2W,F,F,06/23/2021,09:38:35,.683956820
17,5.156329279998e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001042747172,Volt DC,1,F,2W,F,F,06/23/2021,09:38:35,.766643240
18,5.156334736967e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000974350842,Volt DC,1,F,2W,F,F,06/23/2021,09:38:35,.849335880
19,5.388417775976e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001042747172,Volt DC,1,F,2W,F,F,06/23/2021,09:38:35,.932018820
20,0.005712633952498,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,4.9999318122864,Volt DC,1,T,2W,F,F,06/23/2021,09:38:36,.164978760
21,0.005641732830554,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,4.9999303817749,Volt DC,1,T,2W,F,F,06/23/2021,09:38:36,.247682200
22,0.00649267854169,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,4.9999547004700,Volt DC,1,T,2W,F,F,06/23/2021,09:38:36,.330389260
23,0.06648801267147,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,4.9999198913574,Volt DC,1,T,2W,F,F,06/23/2021,09:38:36,.413059360
24,0.08445162326097,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,4.9999189376831,Volt DC,1,T,2W,F,F,06/23/2021,09:38:36,.495745480
25,0.08436435461044,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,4.9999194145203,Volt DC,1,T,2W,F,F,06/23/2021,09:38:36,.578428200
26,0.08430349826813,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,4.9999284744263,Volt DC,1,T,2W,F,F,06/23/2021,09:38:36,.661112940
27,0.08427084237337,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,4.9999232292175,Volt DC,1,T,2W,F,F,06/23/2021,09:38:36,.743801360
28,0.08424856513739,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,4.9999279975891,Volt DC,1,T,2W,F,F,06/23/2021,09:38:36,.826480300
29,0.08415790647268,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,4.9999208450317,Volt DC,1,T,2W,F,F,06/23/2021,09:38:36,.909158140
30,0.08407831192017,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,4.9999279975891,Volt DC,1,T,2W,F,F,06/23/2021,09:38:36,.991866980
31,0.08410473167896,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,4.9999251365662,Volt DC,1,T,2W,F,F,06/23/2021,09:38:37,.074538920
32,0.08407564461231,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,4.9999256134033,Volt DC,1,T,2W,F,F,06/23/2021,09:38:37,.157221100
33,0.08407190442085,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,4.9999232292175,Volt DC,1,T,2W,F,F,06/23/2021,09:38:37,.239919360
34,0.08409005403519,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,4.9999232292175,Volt DC,1,T,2W,F,F,06/23/2021,09:38:37,.322612420
35,0.08409470319748,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,4.9999237060547,Volt DC,1,T,2W,F,F,06/23/2021,09:38:37,.405293300
36,0.08406323939562,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,4.9999232292175,Volt DC,1,T,2W,F,F,06/23/2021,09:38:37,.487985080
