Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,995
Base Time Seconds,1624802496
Base Time Fractional,.035978020
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,2.113796426784e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002912099008,Volt DC,1,F,2W,F,F,06/27/2021,14:01:36,.035978020
2,2.984012326124e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002923506545,Volt DC,1,F,2W,F,F,06/27/2021,14:01:36,.118665420
3,2.867992634492e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002900699619,Volt DC,1,F,2W,F,F,06/27/2021,14:01:36,.201363700
4,2.867985813282e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002900705440,Volt DC,1,F,2W,F,F,06/27/2021,14:01:36,.284049680
5,2.867989223887e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002923499560,Volt DC,1,F,2W,F,F,06/27/2021,14:01:36,.366721040
6,2.693942633414e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002957698889,Volt DC,1,F,2W,F,F,06/27/2021,14:01:36,.449406020
7,2.984019147334e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002969095949,Volt DC,1,F,2W,F,F,06/27/2021,14:01:36,.532085060
8,2.809966872519e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002946304157,Volt DC,1,F,2W,F,F,06/27/2021,14:01:36,.614757380
9,3.042038088097e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002957694232,Volt DC,1,F,2W,F,F,06/27/2021,14:01:36,.697440360
10,2.693942633414e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002923501888,Volt DC,1,F,2W,F,F,06/27/2021,14:01:36,.780121980
11,2.984015736729e-07,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002969100606,Volt DC,1,F,2W,F,F,06/27/2021,14:01:36,.862821120
