Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,3847
Base Time Seconds,1625583477
Base Time Fractional,.356510780
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,7.680063572479e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,5.0007982254028,Volt DC,1,T,2W,F,F,07/06/2021,14:57:57,.356510780
2,9.969271559385e-06,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,5.0001411437988,Volt DC,1,T,2W,F,F,07/06/2021,14:57:57,.367218400
3,0.0001016883616103,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,4.9998636245728,Volt DC,1,T,2W,F,F,07/06/2021,14:57:57,.377932000
4,5.212174528424e-06,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,5.0001072883606,Volt DC,1,T,2W,F,F,07/06/2021,14:57:57,.388610520
5,2.540083187341e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,4.9999589920044,Volt DC,1,T,2W,F,F,07/06/2021,14:57:57,.399301520
6,3.41375653079e-06,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,5.0001220703125,Volt DC,1,T,2W,F,F,07/06/2021,14:57:57,.410008940
7,3.305854988866e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,4.9998707771301,Volt DC,1,T,2W,F,F,07/06/2021,14:57:57,.420694380
8,3.819849553111e-06,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,4.9999961853027,Volt DC,1,T,2W,F,F,07/06/2021,14:57:57,.431397540
9,3.891795131494e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,5.0002894401550,Volt DC,1,T,2W,F,F,07/06/2021,14:57:57,.442122980
10,4.632037871488e-06,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,4.9992365837097,Volt DC,1,T,2W,F,F,07/06/2021,14:57:57,.452828680
11,5.829437941429e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,5.0008211135864,Volt DC,1,T,2W,F,F,07/06/2021,14:57:57,.463536380
12,1.049138518283e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,5.0002398490906,Volt DC,1,T,2W,F,F,07/06/2021,14:57:57,.474224820
13,7.523427484557e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,5.0005588531494,Volt DC,1,T,2W,F,F,07/06/2021,14:57:57,.484925960
14,6.25293032499e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,5.0011019706726,Volt DC,1,T,2W,F,F,07/06/2021,14:57:57,.495644620
15,5.208695074543e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,5.0002851486206,Volt DC,1,T,2W,F,F,07/06/2021,14:57:57,.506335420
16,0.0001045891112881,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,4.9999699592590,Volt DC,1,T,2W,F,F,07/06/2021,14:57:57,.517056400
17,1.414623602614e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,5.0001525878906,Volt DC,1,T,2W,F,F,07/06/2021,14:57:57,.527743240
18,2.429857704556e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,5.0001983642578,Volt DC,1,T,2W,F,F,07/06/2021,14:57:57,.538422120
19,4.922104835714e-06,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,5.0000801086426,Volt DC,1,T,2W,F,F,07/06/2021,14:57:57,.549120040
20,1.867126593424e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,4.9997153282166,Volt DC,1,T,2W,F,F,07/06/2021,14:57:57,.559821840
21,2.949651388917e-06,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,4.9998407363892,Volt DC,1,T,2W,F,F,07/06/2021,14:57:57,.570507180
22,1.64087578014e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,4.9997763633728,Volt DC,1,T,2W,F,F,07/06/2021,14:57:57,.581213360
23,3.529786226864e-06,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,4.9992408752441,Volt DC,1,T,2W,F,F,07/06/2021,14:57:57,.591920720
24,2.331231553399e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,4.9999279975891,Volt DC,1,T,2W,F,F,07/06/2021,14:57:57,.602596780
25,9.85323185887e-06,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,4.9997682571411,Volt DC,1,T,2W,F,F,07/06/2021,14:57:57,.613290880
26,4.483528391575e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,5.0004677772522,Volt DC,1,T,2W,F,F,07/06/2021,14:57:57,.624026200
27,6.003477756167e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,5.0011291503906,Volt DC,1,T,2W,F,F,07/06/2021,14:57:57,.634741320
28,6.513990228996e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,5.0010676383972,Volt DC,1,T,2W,F,F,07/06/2021,14:57:57,.645439760
29,0.0001240235869773,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,5.0003008842468,Volt DC,1,T,2W,F,F,07/06/2021,14:57:57,.656118500
30,6.647426198469e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,5.0003652572632,Volt DC,1,T,2W,F,F,07/06/2021,14:57:57,.666829000
31,6.258736539166e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,5.0001831054688,Volt DC,1,T,2W,F,F,07/06/2021,14:57:57,.677529160
32,2.499473885109e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,5.0001640319824,Volt DC,1,T,2W,F,F,07/06/2021,14:57:57,.688200540
33,1.112952395488e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,5.0001673698425,Volt DC,1,T,2W,F,F,07/06/2021,14:57:57,.698888600
34,6.952576313779e-06,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,4.9999699592590,Volt DC,1,T,2W,F,F,07/06/2021,14:57:57,.709584220
35,1.078145123756e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,4.9997043609619,Volt DC,1,T,2W,F,F,07/06/2021,14:57:57,.720259280
36,4.748067112814e-06,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,4.9992289543152,Volt DC,1,T,2W,F,F,07/06/2021,14:57:57,.730969300
37,8.112838258967e-06,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,4.9996585845947,Volt DC,1,T,2W,F,F,07/06/2021,14:57:57,.741667140
38,9.157084605249e-06,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,4.9997196197510,Volt DC,1,T,2W,F,F,07/06/2021,14:57:57,.752341560
39,1.356610209768e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,4.9998788833618,Volt DC,1,T,2W,F,F,07/06/2021,14:57:57,.763035780
40,4.686574902735e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,5.0008783340454,Volt DC,1,T,2W,F,F,07/06/2021,14:57:57,.773736860
41,3.149221447529e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,5.0002627372742,Volt DC,1,T,2W,F,F,07/06/2021,14:57:57,.784431580
42,0.0001195565637317,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,5.0006084442139,Volt DC,1,T,2W,F,F,07/06/2021,14:57:57,.795152620
43,5.197092468734e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,5.0008664131165,Volt DC,1,T,2W,F,F,07/06/2021,14:57:57,.805847020
44,8.596680709161e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,5.0002779960632,Volt DC,1,T,2W,F,F,07/06/2021,14:57:57,.816550520
45,6.891082011862e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,5.0004334449768,Volt DC,1,T,2W,F,F,07/06/2021,14:57:57,.827260940
46,1.629273174331e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,5.0002894401550,Volt DC,1,T,2W,F,F,07/06/2021,14:57:57,.837976180
47,4.152852125117e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,4.9999089241028,Volt DC,1,T,2W,F,F,07/06/2021,14:57:57,.848661300
48,9.679204595159e-06,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,5.0001296997070,Volt DC,1,T,2W,F,F,07/06/2021,14:57:57,.859347880
49,1.501642509538e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,4.9995789527893,Volt DC,1,T,2W,F,F,07/06/2021,14:57:57,.870042140
50,4.283957878215e-06,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,4.9997496604919,Volt DC,1,T,2W,F,F,07/06/2021,14:57:57,.880745460
51,2.058570680674e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,4.9995446205139,Volt DC,1,T,2W,F,F,07/06/2021,14:57:57,.891449280
52,3.529784862621e-06,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,4.9996013641357,Volt DC,1,T,2W,F,F,07/06/2021,14:57:57,.902133380
53,4.796800203621e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,5.0008440017700,Volt DC,1,T,2W,F,F,07/06/2021,14:57:57,.912846700
54,6.720522833348e-06,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,4.9998335838318,Volt DC,1,T,2W,F,F,07/06/2021,14:57:57,.923522100
55,0.0001131750905188,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,5.0004262924194,Volt DC,1,T,2W,F,F,07/06/2021,14:57:57,.934227000
56,2.070173286484e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,4.9998292922974,Volt DC,1,T,2W,F,F,07/06/2021,14:57:57,.944923980
57,9.159410546999e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,5.0004606246948,Volt DC,1,T,2W,F,F,07/06/2021,14:57:57,.955625120
58,4.199266186333e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,5.0006651878357,Volt DC,1,T,2W,F,F,07/06/2021,14:57:57,.966333540
59,2.012161530729e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,5.0003695487976,Volt DC,1,T,2W,F,F,07/06/2021,14:57:57,.977069420
60,6.85047270963e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,5.0002169609070,Volt DC,1,T,2W,F,F,07/06/2021,14:57:57,.987747200
61,1.548053296574e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,5.0001940727234,Volt DC,1,T,2W,F,F,07/06/2021,14:57:57,.998452840
62,4.901224019704e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,4.9998064041138,Volt DC,1,T,2W,F,F,07/06/2021,14:57:58,.009157540
63,5.38621452506e-06,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,5.0000610351563,Volt DC,1,T,2W,F,F,07/06/2021,14:57:58,.019838600
64,2.145593680325e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,4.9995980262756,Volt DC,1,T,2W,F,F,07/06/2021,14:57:58,.030550920
65,3.297732746432e-06,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,4.9998564720154,Volt DC,1,T,2W,F,F,07/06/2021,14:57:58,.041258020
66,3.381274655112e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,4.9998636245728,Volt DC,1,T,2W,F,F,07/06/2021,14:57:58,.051943920
67,4.051906671521e-06,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,4.9995255470276,Volt DC,1,T,2W,F,F,07/06/2021,14:57:58,.062643900
68,6.920094165253e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,5.0010757446289,Volt DC,1,T,2W,F,F,07/06/2021,14:57:58,.073333480
69,7.648731298104e-06,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,4.9998064041138,Volt DC,1,T,2W,F,F,07/06/2021,14:57:58,.084041620
70,0.0001290706568398,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,5.0002169609070,Volt DC,1,T,2W,F,F,07/06/2021,14:57:58,.094735560
71,2.470467188687e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,5.0000844001770,Volt DC,1,T,2W,F,F,07/06/2021,14:57:58,.105425340
72,6.380565173458e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,5.0005588531494,Volt DC,1,T,2W,F,F,07/06/2021,14:57:58,.116145520
73,4.878018808085e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,5.0008211135864,Volt DC,1,T,2W,F,F,07/06/2021,14:57:58,.126859960
74,2.128188316419e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,5.0002894401550,Volt DC,1,T,2W,F,F,07/06/2021,14:57:58,.137531620
75,6.833079532953e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,5.0000653266907,Volt DC,1,T,2W,F,F,07/06/2021,14:57:58,.148220460
76,1.257987332792e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,5.0001640319824,Volt DC,1,T,2W,F,F,07/06/2021,14:57:58,.158907060
77,3.184032175341e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,4.9998221397400,Volt DC,1,T,2W,F,F,07/06/2021,14:57:58,.169588040
78,4.864094080403e-06,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,5.0000386238098,Volt DC,1,T,2W,F,F,07/06/2021,14:57:58,.180288220
79,1.675681414781e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,4.9995632171631,Volt DC,1,T,2W,F,F,07/06/2021,14:57:58,.190997460
80,3.645811375463e-06,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,4.9996924400330,Volt DC,1,T,2W,F,F,07/06/2021,14:57:58,.201681640
81,2.673511880857e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,4.9999089241028,Volt DC,1,T,2W,F,F,07/06/2021,14:57:58,.212364420
82,5.444224825624e-06,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,4.9996128082275,Volt DC,1,T,2W,F,F,07/06/2021,14:57:58,.223051100
83,6.473380926764e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,5.0010337829590,Volt DC,1,T,2W,F,F,07/06/2021,14:57:58,.233761740
84,1.426224116585e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,4.9998254776001,Volt DC,1,T,2W,F,F,07/06/2021,14:57:58,.244443140
85,0.0001304629695369,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,5.0002627372742,Volt DC,1,T,2W,F,F,07/06/2021,14:57:58,.255137580
86,3.462493259576e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,5.0004906654358,Volt DC,1,T,2W,F,F,07/06/2021,14:57:58,.265851220
87,7.639454270247e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,5.0004792213440,Volt DC,1,T,2W,F,F,07/06/2021,14:57:58,.276574460
88,6.119504541857e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,5.0006618499756,Volt DC,1,T,2W,F,F,07/06/2021,14:57:58,.287276200
89,1.855526716099e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,5.0003161430359,Volt DC,1,T,2W,F,F,07/06/2021,14:57:58,.298013320
90,5.550973946811e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,5.0000462532043,Volt DC,1,T,2W,F,F,07/06/2021,14:57:58,.308707600
91,1.205774515256e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,5.0001144409180,Volt DC,1,T,2W,F,F,07/06/2021,14:57:58,.319375060
92,1.629271901038e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,4.9996924400330,Volt DC,1,T,2W,F,F,07/06/2021,14:57:58,.330090520
93,5.50224149265e-06,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,4.9999699592590,Volt DC,1,T,2W,F,F,07/06/2021,14:57:58,.340795480
94,1.234781211679e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,4.9994421005249,Volt DC,1,T,2W,F,F,07/06/2021,14:57:58,.351477400
95,4.109920155315e-06,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,4.9995942115784,Volt DC,1,T,2W,F,F,07/06/2021,14:57:58,.362177300
96,2.342835978197e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,4.9999208450317,Volt DC,1,T,2W,F,F,07/06/2021,14:57:58,.372849120
97,6.48846526019e-06,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,4.9997496604919,Volt DC,1,T,2W,F,F,07/06/2021,14:57:58,.383540820
98,6.931691314094e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,5.0010604858398,Volt DC,1,T,2W,F,F,07/06/2021,14:57:58,.394248540
99,2.19200464926e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,4.9999284744263,Volt DC,1,T,2W,F,F,07/06/2021,14:57:58,.404926120
100,0.0001304630714003,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,5.0003008842468,Volt DC,1,T,2W,F,F,07/06/2021,14:57:58,.415635700
101,4.518336209003e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,5.0007185935974,Volt DC,1,T,2W,F,F,07/06/2021,14:57:58,.426357900
102,6.983903585933e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,5.0004220008850,Volt DC,1,T,2W,F,F,07/06/2021,14:57:58,.437052540
103,6.792465137551e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,5.0005402565002,Volt DC,1,T,2W,F,F,07/06/2021,14:57:58,.447763140
104,1.693086596788e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,5.0002965927124,Volt DC,1,T,2W,F,F,07/06/2021,14:57:58,.458457740
105,4.326892303652e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,4.9999775886536,Volt DC,1,T,2W,F,F,07/06/2021,14:57:58,.469121980
106,1.205775333801e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,5.0001525878906,Volt DC,1,T,2W,F,F,07/06/2021,14:57:58,.479812180
107,1.269589211006e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,4.9995212554932,Volt DC,1,T,2W,F,F,07/06/2021,14:57:58,.490485860
108,5.560254976444e-06,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,4.9997534751892,Volt DC,1,T,2W,F,F,07/06/2021,14:57:58,.501193240
109,1.049138518283e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,4.9994645118713,Volt DC,1,T,2W,F,F,07/06/2021,14:57:58,.511884120
110,4.864094080403e-06,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,4.9995598793030,Volt DC,1,T,2W,F,F,07/06/2021,14:57:58,.522566980
111,2.540083187341e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,4.9999589920044,Volt DC,1,T,2W,F,F,07/06/2021,14:57:58,.533254620
112,1.025932488119e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,4.9998254776001,Volt DC,1,T,2W,F,F,07/06/2021,14:57:58,.543946300
113,7.326182094403e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,5.0010719299316,Volt DC,1,T,2W,F,F,07/06/2021,14:57:58,.554628980
114,2.859152482415e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,5.0001673698425,Volt DC,1,T,2W,F,F,07/06/2021,14:57:58,.565311300
115,0.0001329575316049,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,5.0002851486206,Volt DC,1,T,2W,F,F,07/06/2021,14:57:58,.576024220
116,5.1506813179e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,5.0009465217590,Volt DC,1,T,2W,F,F,07/06/2021,14:57:58,.586717580
117,7.210161129478e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,5.0003461837769,Volt DC,1,T,2W,F,F,07/06/2021,14:57:58,.597421960
118,6.653227319475e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,5.0004105567932,Volt DC,1,T,2W,F,F,07/06/2021,14:57:58,.608147380
119,1.553854599479e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,5.0002508163452,Volt DC,1,T,2W,F,F,07/06/2021,14:57:58,.618856180
120,2.748931365204e-05,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,4.9999928474426,Volt DC,1,T,2W,F,F,07/06/2021,14:57:58,.629550460
