Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,3406
Base Time Seconds,1624799737
Base Time Fractional,.367390260
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,5.147994670551e-07,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002889327006,Volt DC,1,F,2W,F,F,06/27/2021,13:15:37,.367390260
2,2.023403794738e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002877914812,Volt DC,1,F,2W,F,F,06/27/2021,13:15:37,.450084720
3,2.023383785854e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002912121126,Volt DC,1,F,2W,F,F,06/27/2021,13:15:37,.532754700
4,2.023378328886e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002946320456,Volt DC,1,F,2W,F,F,06/27/2021,13:15:37,.615427100
5,2.139422576874e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002889324678,Volt DC,1,F,2W,F,F,06/27/2021,13:15:37,.698105500
6,2.255457729916e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002969122725,Volt DC,1,F,2W,F,F,06/27/2021,13:15:37,.780809540
7,2.023381966865e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002934919903,Volt DC,1,F,2W,F,F,06/27/2021,13:15:37,.863481340
8,1.907332261908e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002889325842,Volt DC,1,F,2W,F,F,06/27/2021,13:15:37,.946151420
9,1.907337718876e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002877924126,Volt DC,1,F,2W,F,F,06/27/2021,13:15:38,.028831640
10,2.835682607838e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002946320456,Volt DC,1,F,2W,F,F,06/27/2021,13:15:38,.111519680
11,2.25547591981e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002900719410,Volt DC,1,F,2W,F,F,06/27/2021,13:15:38,.194192520
12,2.719654730754e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002912117634,Volt DC,1,F,2W,F,F,06/27/2021,13:15:38,.276875380
13,2.139417119906e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002934923396,Volt DC,1,F,2W,F,F,06/27/2021,13:15:38,.359546520
14,2.255457729916e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002889328171,Volt DC,1,F,2W,F,F,06/27/2021,13:15:38,.442213320
15,2.371505615884e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002900725231,Volt DC,1,F,2W,F,F,06/27/2021,13:15:38,.524885820
16,2.603603206808e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002889322350,Volt DC,1,F,2W,F,F,06/27/2021,13:15:38,.607564600
17,2.371509253862e-06,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002889325842,Volt DC,1,F,2W,F,F,06/27/2021,13:15:38,.690237040
18,0.007242486812174,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,5.0000905990601,Volt DC,1,T,2W,F,F,06/27/2021,13:15:38,.909484720
19,0.01022245455533,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,4.9998097419739,Volt DC,1,T,2W,F,F,06/27/2021,13:15:38,.992204800
20,0.04643879830837,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,5.0000338554382,Volt DC,1,T,2W,F,F,06/27/2021,13:15:39,.074909940
21,0.05190287902951,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,5.0001339912415,Volt DC,1,T,2W,F,F,06/27/2021,13:15:39,.157612680
22,0.04804369062185,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,5.0000271797180,Volt DC,1,T,2W,F,F,06/27/2021,13:15:39,.240326720
23,0.05415827780962,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,5.0001254081726,Volt DC,1,T,2W,F,F,06/27/2021,13:15:39,.323005040
24,0.04649543389678,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,5.0000319480896,Volt DC,1,T,2W,F,F,06/27/2021,13:15:39,.405720640
25,0.05465529486537,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,5.0001354217529,Volt DC,1,T,2W,F,F,06/27/2021,13:15:39,.488414880
26,0.04670744389296,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,5.0000538825989,Volt DC,1,T,2W,F,F,06/27/2021,13:15:39,.571121780
27,0.06040835008025,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,5.0000882148743,Volt DC,1,T,2W,F,F,06/27/2021,13:15:39,.653814360
28,0.0558046810329,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,5.0000953674316,Volt DC,1,T,2W,F,F,06/27/2021,13:15:39,.736511620
29,0.05766716599464,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,5.0000405311584,Volt DC,1,T,2W,F,F,06/27/2021,13:15:39,.819227980
30,0.05791943147779,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,5.0001554489136,Volt DC,1,T,2W,F,F,06/27/2021,13:15:39,.901919880
31,0.05525753647089,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,5.0000371932983,Volt DC,1,T,2W,F,F,06/27/2021,13:15:39,.984607760
32,0.06022463366389,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,5.0001277923584,Volt DC,1,T,2W,F,F,06/27/2021,13:15:40,.067310180
33,0.05376768484712,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,5.0000338554382,Volt DC,1,T,2W,F,F,06/27/2021,13:15:40,.150017060
34,0.06132170557976,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,5.0001168251038,Volt DC,1,T,2W,F,F,06/27/2021,13:15:40,.232734720
35,0.05337973684072,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,5.0000205039978,Volt DC,1,T,2W,F,F,06/27/2021,13:15:40,.315432840
36,0.06131019070745,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,5.0000910758972,Volt DC,1,T,2W,F,F,06/27/2021,13:15:40,.398130320
37,0.05508406087756,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,5.0000762939453,Volt DC,1,T,2W,F,F,06/27/2021,13:15:40,.480848080
38,0.05859109014273,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,5.0000338554382,Volt DC,1,T,2W,F,F,06/27/2021,13:15:40,.563553460
39,0.05711086466908,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,5.0001258850098,Volt DC,1,T,2W,F,F,06/27/2021,13:15:40,.646251200
40,0.05676968768239,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,5.0000381469727,Volt DC,1,T,2W,F,F,06/27/2021,13:15:40,.728943020
41,0.05940548330545,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,5.0001235008240,Volt DC,1,T,2W,F,F,06/27/2021,13:15:40,.811639220
42,0.05408309027553,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,5.0000219345093,Volt DC,1,T,2W,F,F,06/27/2021,13:15:40,.894346740
43,0.06171694025397,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,5.0001249313354,Volt DC,1,T,2W,F,F,06/27/2021,13:15:40,.977044620
44,0.05350507795811,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,5.0000381469727,Volt DC,1,T,2W,F,F,06/27/2021,13:15:41,.059764060
45,0.06143585592508,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,5.0001220703125,Volt DC,1,T,2W,F,F,06/27/2021,13:15:41,.142449980
46,0.05144068971276,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,5.0000672340393,Volt DC,1,T,2W,F,F,06/27/2021,13:15:41,.225142200
47,0.05727008357644,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,5.0000734329224,Volt DC,1,T,2W,F,F,06/27/2021,13:15:41,.307841860
48,0.05368063598871,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,5.0001220703125,Volt DC,1,T,2W,F,F,06/27/2021,13:15:41,.390524520
49,0.05514313280582,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,5.0000038146973,Volt DC,1,T,2W,F,F,06/27/2021,13:15:41,.473235300
50,0.05762828141451,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,5.0001521110535,Volt DC,1,T,2W,F,F,06/27/2021,13:15:41,.555923620
51,0.05276427045465,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,5.0000472068787,Volt DC,1,T,2W,F,F,06/27/2021,13:15:41,.638642180
52,0.05823313444853,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,5.0001325607300,Volt DC,1,T,2W,F,F,06/27/2021,13:15:41,.721343540
53,0.05215713381767,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,5.0000338554382,Volt DC,1,T,2W,F,F,06/27/2021,13:15:41,.804042960
54,0.05905923247337,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,5.0001435279846,Volt DC,1,T,2W,F,F,06/27/2021,13:15:41,.886734340
55,0.0508242584765,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,5.0000505447388,Volt DC,1,T,2W,F,F,06/27/2021,13:15:41,.969432200
56,0.05822824314237,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,5.0000824928284,Volt DC,1,T,2W,F,F,06/27/2021,13:15:42,.052117140
57,0.05425199121237,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,5.0000982284546,Volt DC,1,T,2W,F,F,06/27/2021,13:15:42,.134828880
58,0.05595172941685,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,5.0000348091125,Volt DC,1,T,2W,F,F,06/27/2021,13:15:42,.217522600
59,0.05573739483953,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,5.0001387596130,Volt DC,1,T,2W,F,F,06/27/2021,13:15:42,.300223020
60,0.05430880188942,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,5.0000448226929,Volt DC,1,T,2W,F,F,06/27/2021,13:15:42,.382930220
61,0.05750473216176,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,5.0001220703125,Volt DC,1,T,2W,F,F,06/27/2021,13:15:42,.465627800
62,0.0517414547503,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,5.0000414848328,Volt DC,1,T,2W,F,F,06/27/2021,13:15:42,.548326580
63,0.06066802144051,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,5.0001349449158,Volt DC,1,T,2W,F,F,06/27/2021,13:15:42,.631029300
64,0.05343798920512,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,5.0000371932983,Volt DC,1,T,2W,F,F,06/27/2021,13:15:42,.713724460
65,0.06168395653367,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,5.0000982284546,Volt DC,1,T,2W,F,F,06/27/2021,13:15:42,.796432700
66,0.0547109991312,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,5.0000786781311,Volt DC,1,T,2W,F,F,06/27/2021,13:15:42,.879126640
67,0.0567832775414,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,5.0000772476196,Volt DC,1,T,2W,F,F,06/27/2021,13:15:42,.961839720
68,0.05428131297231,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,5.0001225471497,Volt DC,1,T,2W,F,F,06/27/2021,13:15:43,.044536640
69,0.05691138654947,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,5.0000548362732,Volt DC,1,T,2W,F,F,06/27/2021,13:15:43,.127239920
70,0.05651973187923,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,5.0001330375671,Volt DC,1,T,2W,F,F,06/27/2021,13:15:43,.209936720
71,0.05225727334619,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,5.0000309944153,Volt DC,1,T,2W,F,F,06/27/2021,13:15:43,.292632860
72,0.05873591825366,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,5.0001292228699,Volt DC,1,T,2W,F,F,06/27/2021,13:15:43,.375339860
73,0.05077701434493,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,5.0000286102295,Volt DC,1,T,2W,F,F,06/27/2021,13:15:43,.458052740
74,0.06174755468965,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,5.0001182556152,Volt DC,1,T,2W,F,F,06/27/2021,13:15:43,.540746420
75,0.05377722531557,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,5.0000824928284,Volt DC,1,T,2W,F,F,06/27/2021,13:15:43,.623446540
76,0.05996726080775,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,5.0000910758972,Volt DC,1,T,2W,F,F,06/27/2021,13:15:43,.706153540
77,0.05340353026986,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,5.0001320838928,Volt DC,1,T,2W,F,F,06/27/2021,13:15:43,.788860600
78,0.05536570027471,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,5.0000185966492,Volt DC,1,T,2W,F,F,06/27/2021,13:15:43,.871580960
