Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,1679
Base Time Seconds,1625748517
Base Time Fractional,.122263120
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,0.01060094963759,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,2.0908207893372,Volt DC,1,T,2W,T,F,07/08/2021,12:48:37,.122263120
2,0.01060107443482,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,2.0908224582672,Volt DC,1,T,2W,T,F,07/08/2021,12:48:37,.132954780
3,0.01060089096427,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,2.0907864570618,Volt DC,1,T,2W,T,F,07/08/2021,12:48:37,.143650500
4,0.01060100737959,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,2.0907409191132,Volt DC,1,T,2W,T,F,07/08/2021,12:48:37,.154334220
5,0.01060106605291,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,2.0907409191132,Volt DC,1,T,2W,T,F,07/08/2021,12:48:37,.165034400
6,0.01060100737959,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,2.0907182693481,Volt DC,1,T,2W,T,F,07/08/2021,12:48:37,.175724280
7,0.01060100737959,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,2.0907864570618,Volt DC,1,T,2W,T,F,07/08/2021,12:48:37,.186398920
8,0.01060101576149,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,2.0908224582672,Volt DC,1,T,2W,T,F,07/08/2021,12:48:37,.197087380
9,0.01060107443482,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,2.0908565521240,Volt DC,1,T,2W,T,F,07/08/2021,12:48:37,.207771520
10,0.01060106605291,Amp DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,2.0908093452454,Volt DC,1,T,2W,T,F,07/08/2021,12:48:37,.218442920
