Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,3869
Base Time Seconds,1625748173
Base Time Fractional,.005597680
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,3.093354052908e-07,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,5.0001435279846,Volt DC,1,T,2W,F,F,07/08/2021,12:42:53,.005597680
2,5.45734849311e-07,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,5.0001964569092,Volt DC,1,T,2W,F,F,07/08/2021,12:42:53,.016298980
3,3.047329926176e-07,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,5.0001354217529,Volt DC,1,T,2W,F,F,07/08/2021,12:42:53,.026964280
4,5.454831466523e-07,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,5.0001893043518,Volt DC,1,T,2W,F,F,07/08/2021,12:42:53,.037650660
5,3.296970589872e-07,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,5.0001506805420,Volt DC,1,T,2W,F,F,07/08/2021,12:42:53,.048353180
6,5.171143584448e-07,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,5.0001583099365,Volt DC,1,T,2W,F,F,07/08/2021,12:42:53,.059041640
7,3.86432986943e-07,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,5.0001506805420,Volt DC,1,T,2W,F,F,07/08/2021,12:42:53,.069729280
8,4.452488440165e-07,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,5.0002036094666,Volt DC,1,T,2W,F,F,07/08/2021,12:42:53,.080429580
9,4.453752922018e-07,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,5.0001392364502,Volt DC,1,T,2W,F,F,07/08/2021,12:42:53,.091102200
10,4.110185329864e-07,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,5.0001735687256,Volt DC,1,T,2W,F,F,07/08/2021,12:42:53,.101792700
11,4.833253228753e-07,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,5.0001506805420,Volt DC,1,T,2W,F,F,07/08/2021,12:42:53,.112469000
12,3.513197555094e-07,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,5.0001735687256,Volt DC,1,T,2W,F,F,07/08/2021,12:42:53,.123161880
13,5.406917011896e-07,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,5.0001735687256,Volt DC,1,T,2W,F,F,07/08/2021,12:42:53,.133861720
14,3.129917161004e-07,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,5.0001778602600,Volt DC,1,T,2W,F,F,07/08/2021,12:42:53,.144540380
15,5.49832464003e-07,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,5.0001735687256,Volt DC,1,T,2W,F,F,07/08/2021,12:42:53,.155246420
